date_time,"los+angeles,ca_maxtempC","los+angeles,ca_mintempC","los+angeles,ca_totalSnow_cm","los+angeles,ca_sunHour","los+angeles,ca_uvIndex","los+angeles,ca_uvIndex","los+angeles,ca_moon_illumination","los+angeles,ca_moonrise","los+angeles,ca_moonset","los+angeles,ca_sunrise","los+angeles,ca_sunset","los+angeles,ca_DewPointC","los+angeles,ca_FeelsLikeC","los+angeles,ca_HeatIndexC","los+angeles,ca_WindChillC","los+angeles,ca_WindGustKmph","los+angeles,ca_cloudcover","los+angeles,ca_humidity","los+angeles,ca_precipMM","los+angeles,ca_pressure","los+angeles,ca_tempC","los+angeles,ca_visibility","los+angeles,ca_winddirDegree","los+angeles,ca_windspeedKmph"
2019-01-19 15:00:00,21,11,0.0,8.7,5,6,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,9,22,22,22,5,18,41,0.0,1022,21,10,293,5
2019-01-19 18:00:00,21,11,0.0,8.7,5,0,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,10,20,21,20,8,11,51,0.0,1021,20,10,294,4
2019-01-19 21:00:00,21,11,0.0,8.7,5,0,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,11,17,18,17,13,3,69,0.0,1022,16,10,337,0
2019-01-20 00:00:00,19,13,0.0,8.7,5,0,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,9,15,15,15,13,1,67,0.0,1021,14,10,243,1
2019-01-20 03:00:00,19,13,0.0,8.7,5,0,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,7,14,14,14,13,0,65,0.0,1020,13,10,9,3
2019-01-20 06:00:00,19,13,0.0,8.7,5,0,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,6,14,14,14,12,2,61,0.0,1019,13,10,4,4
2019-01-20 09:00:00,19,13,0.0,8.7,5,4,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,7,16,16,16,8,10,57,0.0,1020,15,10,3,1
2019-01-20 12:00:00,19,13,0.0,8.7,5,4,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,9,19,19,19,4,38,49,0.0,1019,19,10,73,1
2019-01-20 15:00:00,19,13,0.0,8.7,5,5,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,11,19,19,19,9,53,57,0.0,1017,19,10,211,3
2019-01-20 18:00:00,19,13,0.0,8.7,5,0,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,12,17,17,17,7,8,73,0.0,1016,16,10,218,4
2019-01-20 21:00:00,19,13,0.0,8.7,5,0,98,04:55 PM,06:27 AM,06:57 AM,05:12 PM,13,15,15,15,5,2,85,0.0,1016,14,10,230,1
2019-01-21 00:00:00,17,11,0.0,8.7,4,0,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,11,14,14,14,10,4,83,0.0,1017,13,10,240,5
2019-01-21 03:00:00,17,11,0.0,8.7,4,0,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,8,13,13,13,18,9,71,0.0,1017,13,10,256,7
2019-01-21 06:00:00,17,11,0.0,8.7,4,0,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,6,12,12,12,20,10,65,0.0,1019,11,10,299,12
2019-01-21 09:00:00,17,11,0.0,8.7,4,4,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,4,13,13,13,23,13,54,0.0,1020,13,10,347,13
2019-01-21 12:00:00,17,11,0.0,8.7,4,5,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,4,17,17,17,24,0,42,0.0,1020,16,10,333,14
2019-01-21 15:00:00,17,11,0.0,8.7,4,5,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,3,17,17,17,25,0,38,0.0,1019,16,10,313,16
2019-01-21 18:00:00,17,11,0.0,8.7,4,0,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,2,15,15,15,24,0,44,0.0,1019,14,10,328,17
2019-01-21 21:00:00,17,11,0.0,8.7,4,0,100,06:06 PM,07:24 AM,06:56 AM,05:13 PM,3,13,13,13,26,0,50,0.0,1022,13,10,346,10
2019-01-22 00:00:00,18,8,0.0,8.7,4,0,88,07:18 PM,08:15 AM,06:56 AM,05:14 PM,2,11,11,11,27,0,52,0.0,1023,11,10,339,7
2019-01-22 03:00:00,18,8,0.0,8.7,4,0,88,07:18 PM,08:15 AM,06:56 AM,05:14 PM,1,10,10,10,24,0,53,0.0,1022,9,10,345,7
2019-01-22 06:00:00,18,8,0.0,8.7,4,0,88,07:18 PM,08:15 AM,06:56 AM,05:14 PM,-0,9,9,9,22,0,52,0.0,1024,8,10,354,4
2019-01-22 09:00:00,18,8,0.0,8.7,4,4,88,07:18 PM,08:15 AM,06:56 AM,05:14 PM,0,11,11,11,14,0,46,0.0,1026,11,10,354,3
