Location,Code,Starting_a_Business_rank,Starting_a_Business_score,Procedure,Time,Cost,Procedure,Time,Cost,Paid_in_min,Income_Level,GNI
Saudi Arabia,SAU,25,93.1,3,10,5.4,4,11,5.4,0,High income,21540
Senegal,SEN,39,91.2,4,6,22.6,4,6,22.6,3,Lower middle income,1410
Serbia,SRB,45,89.3,7,7,2.3,7,7,2.3,0,Upper middle income,6390
Seychelles,SYC,94,78.8,9,32,12.5,9,32,12.5,0,High income,15600
Sierra Leone,SLE,38,91.3,5,8,7.6,5,8,7.6,0,Low income,500
Singapore,SGP,3,98.2,2,1.5,0.4,2,1.5,0.4,0,High income,58770
Slovakia,SVK,72,84.8,7,21.5,1,7,21.5,1,15.4,High income,18330
Slovenia,SVN,26,93,3,8,0,3,8,0,34.3,High income,24670
Solomon Islands,SLB,66,85.6,7,9,27.4,7,9,27.4,0,Lower middle income,2000
Somalia,SOM,133,46,9,70,198.2,9,70,198.2,0,Low income,454
South Africa,ZAF,88,81.2,7,40,0.2,7,40,0.2,0,Upper middle income,5720
Spain,ESP,58,86.9,7,12.5,3.9,7,12.5,3.9,11.6,High income,29450
Sri Lanka,LKA,52,88.2,7,8,8.7,7,8,8.7,0,Upper middle income,4060
Sudan,SDN,103,76.7,9,34,17.8,10,35,17.8,0,Lower middle income,1560
Suriname,SUR,127,61.6,8,66,93.5,8,66,93.5,0,Upper middle income,4990
Sweden,SWE,25,93.1,4,7.5,0.5,4,7.5,0.5,10.5,High income,55070
Switzerland,CHE,51,88.4,6,10,2.3,6,10,2.3,24.6,High income,83580
Syria,SYR,90,80.1,7,15,8.1,8,16,8.1,88.3,Low income,1037
Taiwan,TWN,17,94.4,3,10,1.9,3,10,1.9,0,High income,25501
Tajikistan,TJK,24,93.2,3,7,17.5,3,7,17.5,0,Low income,1010
Tanzania,TZA,108,74.4,10,29.5,40.6,10,29.5,40.6,0,Low income,1020
Thailand,THA,30,92.4,5,6,3,5,6,3,0,Upper middle income,6610
Timor-Leste,TLS,44,89.4,6,13,0.7,6,13,0.7,0.3,Lower middle income,1820
Togo,TGO,12,95.1,3,2.5,8.1,3,2.5,8.1,6.7,Low income,650
Tonga,TON,41,90.9,4,16,6,4,16,6,0,Upper middle income,4300
Trinidad and Tobago,TTO,49,88.6,7,10.5,0.7,7,10.5,0.7,0,High income,16240
Tunisia,TUN,15,94.6,3,9,2.9,3,9,2.9,0,Lower middle income,3500
Turkey,TUR,48,88.8,7,7,6,7,7,6,0,Upper middle income,10380
Uganda,UGA,115,71.4,13,24,40.5,13,24,40.5,0,Low income,620
Ukraine,UKR,40,91.1,6,6.5,0.5,6,6.5,0.5,0,Lower middle income,2660
United Arab Emirates,ARE,14,94.8,2,3.5,17.2,3,4.5,17.2,0,High income,41010
United Kingdom,GBR,15,94.6,4,4.5,0,4,4.5,0,0,High income,41330
United States of America,USA,35,91.6,6,4,1,6,4,1,0,High income,62850
Uruguay,URY,43,89.6,5,6.5,24.1,5,6.5,24.1,0,High income,15650
Uzbekistan,UZB,6,96.2,3,3,2.2,3,3,2.2,0,Lower middle income,2020
Vanuatu,VUT,86,81.5,7,18,42.5,7,18,42.5,0,Lower middle income,2970
Venezuela,VEN,135,25,20,230,211.8,20,230,211.8,0,Upper middle income,5816
Vietnam,VNM,69,85.1,8,16,5.6,8,16,5.6,0,Lower middle income,2400
Yemen,YEM,102,76.8,6,40,40.2,7,41,40.2,0,Low income,960
Zambia,ZMB,71,84.9,7,8.5,34,7,8.5,34,0,Lower middle income,1430
Zimbabwe,ZWE,113,72,9,27,76.6,9,27,76.6,0,Lower middle income,1790
